Sub-Activity,Functional Group,Species Common Name,Combined Consequence and Confidence Score
Longlines,Intertidal/shallow subtidal insectivores or omnivores,Sandpiper,HIGH
Longlines,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),MEDIUM
Longlines,Coastal scavengers/generalists (gulls),California Gull,LOW
Longlines,Coastal scavengers/generalists (gulls),Glaucous-winged Gull,LOW
Longlines,Coastal scavengers/generalists (gulls),Mew Gull ,LOW
Longlines,Coastal scavengers/generalists (gulls),Thayer’s Gull ,LOW
Longlines,Coastal piscivores,Coastal piscivores,HIGH
Longlines,Coastal piscivores,Double-crested Cormorant ,MEDIUM
Longlines,Coastal piscivores,Pelagic Cormorant,MEDIUM
Longlines,Coastal piscivores,Brandt’s Cormorant ,MEDIUM
Longlines,Coastal piscivores,Marbled Murrelet,HIGH
Longlines,Roundfish,Roundfish,LOW
Longlines,Flatfish,Flatfish,MEDIUM
Longlines,Other groundfish,Other groundfish,MEDIUM
Longlines,Rockfish (any),Rockfish (any),LOW
Longlines,Inshore Rockfish,Inshore Rockfish,LOW
Longlines,Shelf rockfish,Shelf rockfish,LOW
Longlines,Slope rockfish,Slope rockfish,LOW
Longlines,Forage fish,Forage fish,MEDIUM
Longlines,Pacific salmon,Pacific salmon,MEDIUM
Longlines,Demersal sharks/skates,Demersal sharks/skates,LOW
Longlines,Sea turtles,Sea turtles,LOW
Longlines,Sea turtles,Leatherback sea turtle,LOW
Longlines,Pinnipeds and Otters,Pinnipeds and Otters,LOW
Longlines,Baleen Whales,Baleen Whales,LOW
Longlines,Baleen Whales,Humpback Whale ,LOW
Longlines,Grey whales,Grey whales,LOW
Longlines,Sperm whales,Sperm whales,LOW
Longlines,Orca/killer whales,Orca/Killer Whale,LOW
Longlines,Dolphins and porpoises,Dolphins and porpoises,LOW
Longlines,Crabs,Crabs,HIGH
Longlines,Crabs,Red Rock Crab,MEDIUM
Longlines,Shrimp and prawns,Shrimp and prawns,MEDIUM
Longlines,Tunicates,Tunicates,HIGH
Longlines,Epifaunal bivalves,Epifaunal bivalves,MEDIUM
Longlines,Epifaunal bivalves,Mussels,MEDIUM
Longlines,Infaunal bivalves,Infaunal bivalves,LOW
Longlines,Infaunal bivalves,Geoduck clam,LOW
Longlines,"Other molluscs, benthic","Other molluscs, benthic",LOW
Longlines,Zooplankton,Zooplankton,HIGH
Longlines,Filter/suspension feeders,Filter/suspension feeders,LOW
Longlines,Benthic feeders/surface bioturbators,Benthic feeders/surface bioturbators,HIGH
Longlines,Benthic feeders/surface bioturbators,Sea stars,HIGH
Longlines,Burrowing invertebrates,Burrowing invertebrates,LOW
Longlines,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,LOW
Longlines,Kelp bed and associated assemblages,Kelp bed and associated assemblages,HIGH
Longlines,Kelp bed and associated assemblages,Other Macroalgae,HIGH
Longlines,Intertidal algae,Intertidal algae,MEDIUM
Longlines,Intertidal algae,Fucus,LOW
Longlines,Intertidal algae,Other intertidal algae,MEDIUM
Longlines,Microalgae and phytoplankton,Microalgae and phytoplankton,HIGH
Longlines,Eelgrass and associated assemblages,Eelgrass and associated assemblages,HIGH
Longlines,Eelgrass and associated assemblages,Eelgrass,HIGH
Floating Raft/Floating Bag Suspension,Raptors,Raptors,LOW
Floating Raft/Floating Bag Suspension,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,HIGH
Floating Raft/Floating Bag Suspension,Pelagic forage-fish piscivores/planktivores,Ancient Murrelet,LOW
Floating Raft/Floating Bag Suspension,Pelagic forage-fish piscivores/planktivores,Common murres,LOW
Floating Raft/Floating Bag Suspension,Wetland and coastal birds,Wetland and coastal birds,HIGH
Floating Raft/Floating Bag Suspension,Wetland and coastal birds,Brant,MEDIUM
Floating Raft/Floating Bag Suspension,Wetland and coastal birds,"Loon, unspecified ",LOW
Floating Raft/Floating Bag Suspension,Wetland and coastal birds,Great Blue Heron,LOW
Floating Raft/Floating Bag Suspension,Terrestrial scavengers/generalists (corvids),Terrestrial scavengers/generalists (corvids),LOW
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Black Oystercatcher ,HIGH
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Harlequin Duck ,LOW
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Surf scoter,HIGH
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,White-winged Scoter ,HIGH
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Sea duck,HIGH
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Grebes,LOW
Floating Raft/Floating Bag Suspension,Intertidal/shallow subtidal insectivores or omnivores,Sandpiper,HIGH
Floating Raft/Floating Bag Suspension,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),HIGH
Floating Raft/Floating Bag Suspension,Coastal scavengers/generalists (gulls),California Gull,LOW
Floating Raft/Floating Bag Suspension,Coastal scavengers/generalists (gulls),Glaucous-winged Gull ,LOW
Floating Raft/Floating Bag Suspension,Coastal scavengers/generalists (gulls),Mew Gull,LOW
Floating Raft/Floating Bag Suspension,Coastal scavengers/generalists (gulls),Thayer’s Gull,LOW
Floating Raft/Floating Bag Suspension,Coastal piscivores,Coastal piscivores,HIGH
Floating Raft/Floating Bag Suspension,Coastal piscivores,Double-crested Cormorant ,MEDIUM
Floating Raft/Floating Bag Suspension,Coastal piscivores,Pelagic Cormorant,MEDIUM
Floating Raft/Floating Bag Suspension,Coastal piscivores,Brandt’s Cormorant ,MEDIUM
Floating Raft/Floating Bag Suspension,Coastal piscivores,Marbled Murrelet ,HIGH
Floating Raft/Floating Bag Suspension,Roundfish,Roundfish,LOW
Floating Raft/Floating Bag Suspension,Flatfish,Flatfish,MEDIUM
Floating Raft/Floating Bag Suspension,Other groundfish,Other groundfish,MEDIUM
Floating Raft/Floating Bag Suspension,Rockfish (any),Rockfish (any),LOW
Floating Raft/Floating Bag Suspension,Inshore Rockfish,Inshore Rockfish,LOW
Floating Raft/Floating Bag Suspension,Shelf rockfish,Shelf rockfish,LOW
Floating Raft/Floating Bag Suspension,Slope rockfish,Slope rockfish,LOW
Floating Raft/Floating Bag Suspension,Forage fish,Forage fish,MEDIUM
Floating Raft/Floating Bag Suspension,Pacific salmon,Pacific salmon,MEDIUM
Floating Raft/Floating Bag Suspension,Demersal sharks/skates,Demersal sharks/skates,LOW
Floating Raft/Floating Bag Suspension,Sea turtles,Leatherback sea turtle,LOW
Floating Raft/Floating Bag Suspension,Pinnipeds and Otters,Pinnipeds and Otters,LOW
Floating Raft/Floating Bag Suspension,Baleen Whales,Baleen Whales,LOW
Floating Raft/Floating Bag Suspension,Baleen Whales,Humpback Whale ,LOW
Floating Raft/Floating Bag Suspension,Grey whales,Grey whales,LOW
Floating Raft/Floating Bag Suspension,Sperm whales,Sperm whales,LOW
Floating Raft/Floating Bag Suspension,Orca/killer whales,Orca/Killer Whale,LOW
Floating Raft/Floating Bag Suspension,Dolphins and porpoises,Dolphins and porpoises,LOW
Floating Raft/Floating Bag Suspension,Crabs,Crabs,HIGH
Floating Raft/Floating Bag Suspension,Crabs,Red Rock Crab,MEDIUM
Floating Raft/Floating Bag Suspension,Shrimp and prawns,Shrimp and prawns,MEDIUM
Floating Raft/Floating Bag Suspension,Tunicates,Tunicates,HIGH
Floating Raft/Floating Bag Suspension,Epifaunal bivalves,Epifaunal bivalves,MEDIUM
Floating Raft/Floating Bag Suspension,Epifaunal bivalves,Mussels,MEDIUM
Floating Raft/Floating Bag Suspension,Infaunal bivalves,Infaunal bivalves,LOW
Floating Raft/Floating Bag Suspension,Infaunal bivalves,Geoduck clam,LOW
Floating Raft/Floating Bag Suspension,Zooplankton,Zooplankton,HIGH
Floating Raft/Floating Bag Suspension,Filter/suspension feeders,Filter/suspension feeders,LOW
Floating Raft/Floating Bag Suspension,Benthic feeders/surface bioturbators,Benthic feeders/surface bioturbators,HIGH
Floating Raft/Floating Bag Suspension,Benthic feeders/surface bioturbators,Sea stars,HIGH
Floating Raft/Floating Bag Suspension,Herbivores/grazers,Herbivores/grazers,LOW
Floating Raft/Floating Bag Suspension,Burrowing invertebrates,Burrowing invertebrates,LOW
Floating Raft/Floating Bag Suspension,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,LOW
Floating Raft/Floating Bag Suspension,Kelp bed and associated assemblages,Kelp bed and associated assemblages,HIGH
Floating Raft/Floating Bag Suspension,Kelp bed and associated assemblages,Other Macroalgae,HIGH
Floating Raft/Floating Bag Suspension,Intertidal algae,Intertidal algae,HIGH
Floating Raft/Floating Bag Suspension,Intertidal algae,Fucus,LOW
Floating Raft/Floating Bag Suspension,Intertidal algae,Other intertidal algae,LOW
Floating Raft/Floating Bag Suspension,Microalgae and phytoplankton,Microalgae and phytoplankton,HIGH
Floating Raft/Floating Bag Suspension,Eelgrass and associated assemblages,Eelgrass and associated assemblages,HIGH
Floating Raft/Floating Bag Suspension,Eelgrass and associated assemblages,Eelgrass,HIGH
Fish Stocking,Lingcod,Lingcod,LOW
Fish Stocking,Pacific salmon,Pacific salmon,HIGH
Fish Stocking,Pacific salmon,Sockeye salmon,HIGH
Fish Stocking,Pacific salmon,Pink salmon,HIGH
Fish Stocking,Pacific salmon,Chum salmon,HIGH
Fish Stocking,Pacific salmon,Coho salmon,HIGH
Fish Stocking,Pacific salmon,Chinook salmon,HIGH
Fish Stocking,Pacific salmon,Steelhead,MEDIUM
Fish Stocking,Crabs,Crabs,NA
Fish Stocking,Epifaunal bivalves,Epifaunal bivalves,MEDIUM
Fish Stocking,"Other molluscs, benthic","Other molluscs, benthic",LOW
Fish Stocking,"Other molluscs, benthic",Northern abalone,LOW
Fish Stocking,Herbivores/grazers,Herbivores/grazers,LOW
Biotic Enhancements - Eelgrass Restoration,Roundfish,Roundfish,MEDIUM
Biotic Enhancements - Eelgrass Restoration,Forage fish,Forage fish,MEDIUM
Biotic Enhancements - Eelgrass Restoration,Pacific salmon,Pacific salmon,MEDIUM
Biotic Enhancements - Eelgrass Restoration,Crabs,Crabs,MEDIUM
Biotic Enhancements - Eelgrass Restoration,Shrimp and prawns,Shrimp and prawns,MEDIUM
Biotic Enhancements - Eelgrass Restoration,Infaunal bivalves,Infaunal bivalves,LOW
Biotic Enhancements - Eelgrass Restoration,"Other molluscs, benthic","Other molluscs, benthic",MEDIUM
Biotic Enhancements - Eelgrass Restoration,Burrowing invertebrates,Burrowing invertebrates,MEDIUM
Biotic Enhancements - Eelgrass Restoration,Eelgrass and associated assemblages,Eelgrass and associated assemblages,HIGH
Biotic Enhancements - Salt Marsh Restoration,Roundfish,Roundfish,MEDIUM
Biotic Enhancements - Salt Marsh Restoration,Forage fish,Forage fish,MEDIUM
Biotic Enhancements - Salt Marsh Restoration,Pacific salmon,Pacific salmon,VERY HIGH
Biotic Enhancements - Salt Marsh Restoration,Pacific salmon,Chinook salmon,VERY HIGH
Biotic Enhancements - Salt Marsh Restoration,Pacific salmon,Chum salmon,VERY HIGH
Biotic Enhancements - Salt Marsh Restoration,Crabs,Crabs,MEDIUM
Biotic Enhancements - Salt Marsh Restoration,Zooplankton,Zooplankton,MEDIUM
Biotic Enhancements - Salt Marsh Restoration,Burrowing invertebrates,Burrowing invertebrates,HIGH
Biotic Enhancements - Salt Marsh Restoration,Salt marsh plants,Salt marsh plants,VERY HIGH
Abiotic Enhancements - Artificial Reef,Rockfish (any),Rockfish (any),MEDIUM
Abiotic Enhancements - Artificial Reef,Lingcod,Ophiodon enlongatus,MEDIUM
Abiotic Enhancements - Artificial Reef,Flatfish,Flatfish,MEDIUM
Abiotic Enhancements - Artificial Reef,Infaunal bivalves,Infaunal bivalves,MEDIUM
Abiotic Enhancements - Artificial Reef,Crabs,Crabs,MEDIUM
Abiotic Enhancements - Artificial Reef,NA,NA,LOW
Abiotic Enhancements - Artificial Reef,Benthic feeders/surface bioturbators,Benthic feeders/surface bioturbators,LOW
Abiotic Enhancements - Substrate Addition,Infaunal bivalves,Infaunal bivalves,LOW
Abiotic Enhancements - Substrate Addition,"Other molluscs, benthic","Other molluscs, benthic",LOW
Abiotic Enhancements - Substrate Addition,Crabs,Crabs,LOW
Ocean Fertilization,Zooplankton,Zooplankton,LOW
Ocean Fertilization,Microalgae and phytoplankton,Microalgae and phytoplankton,VERY HIGH
Vessel Strikes,Pinnipeds and Otters,Pinnipeds and Otters,VERY HIGH
Vessel Strikes,Baleen Whales,Baleen Whales,VERY HIGH
Vessel Strikes,Baleen Whales,Humpback Whale ,VERY HIGH
Vessel Strikes,Baleen Whales,Fin Whale,VERY HIGH
Vessel Strikes,Baleen Whales,Blue whale,VERY HIGH
Vessel Strikes,Grey whales,Grey whales,MEDIUM
Vessel Strikes,Orca/killer whales,Orca/Killer Whale,HIGH
Vessel Strikes,Dolphins and porpoises,Dolphins and porpoises,HIGH
Vessel Strikes,Reptiles,Reptiles,MEDIUM
Vessel Strikes,Reptiles,Leatherback sea turtle,MEDIUM
Other Vessel Interactions,Intertidal algae,Intertidal algae,HIGH
Vessel Noise,Roundfish,Roundfish,MEDIUM
Vessel Noise,Rockfish (any),Rockfish (any),MEDIUM
Vessel Noise,Pinnipeds and Otters,Pinnipeds and Otters,VERY HIGH
Vessel Noise,Baleen Whales,Baleen Whales,VERY HIGH
Vessel Noise,Baleen Whales,Humpback Whale ,VERY HIGH
Vessel Noise,Baleen Whales,Fin Whale,VERY HIGH
Vessel Noise,Baleen Whales,Blue whale,VERY HIGH
Vessel Noise,Grey whales,Grey whales,MEDIUM
Vessel Noise,Orca/killer whales,Orca/Killer Whale,HIGH
Vessel Noise,Dolphins and porpoises,Dolphins and porpoises,HIGH
Vessel Noise,Crabs,Crabs,LOW
Vessel Noise,Epifaunal bivalves,Epifaunal bivalves,LOW
Vessel Noise,"Other molluscs, benthic","Other molluscs, benthic",LOW
Ballast Water Exchange,Infaunal bivalves,Infaunal bivalves,LOW
Ballast Water Exchange,"Other molluscs, benthic","Other molluscs, benthic",LOW
Ballast Water Exchange,Zooplankton,Zooplankton,LOW
Ballast Water Exchange,Burrowing invertebrates,Burrowing invertebrates,LOW
Anchoring,Infaunal bivalves,Infaunal bivalves,LOW
Anchoring,Eelgrass and associated assemblages,Eelgrass and associated assemblages,HIGH
Anchoring,Eelgrass and associated assemblages,Eelgrass,HIGH
Anchoring,Intertidal algae,Intertidal algae,LOW
Anchoring,Coralline algae,Coralline algae,LOW
Vessel Sonar,Forage fish,Forage fish,MEDIUM
Vessel Sonar,Pinnipeds and Otters,Pinnipeds and Otters,MEDIUM
Vessel Sonar,Pinnipeds and Otters,California sea lion,MEDIUM
Vessel Sonar,Baleen Whales,Baleen Whales,HIGH
Vessel Sonar,Baleen Whales,Humpback Whale ,HIGH
Vessel Sonar,Baleen Whales,Blue whale,HIGH
Vessel Sonar,Grey whales,Grey whales,LOW
Vessel Sonar,Sperm whales,Sperm whales,HIGH
Vessel Sonar,Orca/killer whales,Orca/Killer Whale,HIGH
Vessel Sonar,Dolphins and porpoises,Dolphins and porpoises,HIGH
Other Vessel Interactions,Wetland and coastal birds,Wetland and coastal birds,MEDIUM
Other Vessel Interactions,Wetland and coastal birds,"Loon, unspecified ",MEDIUM
Other Vessel Interactions,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,MEDIUM
Other Vessel Interactions,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),HIGH
Other Vessel Interactions,Coastal piscivores,Coastal piscivores,HIGH
Other Vessel Interactions,Coastal piscivores,Marbled Murrelet ,HIGH
Other Vessel Interactions,Epifaunal bivalves,Epifaunal bivalves,HIGH
Other Vessel Interactions,Infaunal bivalves,Infaunal bivalves,LOW
Other Vessel Interactions,Burrowing invertebrates,Burrowing invertebrates,MEDIUM
Other Vessel Interactions,Intertidal algae,Intertidal algae,HIGH
Other Vessel Interactions,Salt marsh plants,Salt marsh plants,MEDIUM
Float Planes,Raptors,Raptors,LOW
Float Planes,Wetland and coastal birds,Wetland and coastal birds,LOW
Float Planes,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,LOW
Float Planes,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),LOW
Float Planes,Coastal piscivores,Coastal piscivores,LOW
Float Planes,Kelp bed and associated assemblages,Kelp bed and associated assemblages,LOW
Float Planes,Intertidal algae,Intertidal algae,LOW
Float Planes,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Float Planes,Salt marsh plants,Salt marsh plants,LOW
SCUBA/Snorkelling,Filter/suspension feeders,Filter/suspension feeders,LOW
SCUBA/Snorkelling,Kelp bed and associated assemblages,Kelp bed and associated assemblages,LOW
SCUBA/Snorkelling,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Non-Motorized Recreational Boating,Raptors,Raptors,HIGH
Non-Motorized Recreational Boating,Raptors,Bald Eagle,MEDIUM
Non-Motorized Recreational Boating,Raptors,Peregrine Falcon,HIGH
Non-Motorized Recreational Boating,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,HIGH
Non-Motorized Recreational Boating,Pelagic forage-fish piscivores/planktivores,Tufted puffins,HIGH
Non-Motorized Recreational Boating,Wetland and coastal birds,Wetland and coastal birds,HIGH
Non-Motorized Recreational Boating,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Non-Motorized Recreational Boating,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),HIGH
Non-Motorized Recreational Boating,Pinnipeds and Otters,Pinnipeds and Otters,MEDIUM
Motorized Recreational Boating,Raptors,Raptors,HIGH
Motorized Recreational Boating,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,HIGH
Motorized Recreational Boating,Wetland and coastal birds,Wetland and coastal birds,HIGH
Motorized Recreational Boating,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Motorized Recreational Boating,Coastal piscivores,Coastal piscivores,HIGH
Motorized Recreational Boating,Coastal piscivores,Marbled Murrelet ,HIGH
Motorized Recreational Boating,Coastal piscivores,Pelagic cormorant,HIGH
Motorized Recreational Boating,Roundfish,Roundfish,MEDIUM
Motorized Recreational Boating,Rockfish (any),Rockfish (any),MEDIUM
Motorized Recreational Boating,Pacific salmon,Pacific salmon,MEDIUM
Motorized Recreational Boating,Pacific salmon,Chinook salmon,MEDIUM
Motorized Recreational Boating,Reptiles,Reptiles,LOW
Motorized Recreational Boating,Reptiles,Leatherback sea turtle,LOW
Motorized Recreational Boating,Pinnipeds and Otters,Pinnipeds and Otters,VERY HIGH
Motorized Recreational Boating,Baleen Whales,Baleen Whales,VERY HIGH
Motorized Recreational Boating,Baleen Whales,Humpback Whale ,VERY HIGH
Motorized Recreational Boating,Baleen Whales,Fin whale,VERY HIGH
Motorized Recreational Boating,Baleen Whales,Blue whale,VERY HIGH
Motorized Recreational Boating,Grey whales,Eschrichtius robustus,MEDIUM
Motorized Recreational Boating,Orca/killer whales,Orca/Killer Whale,HIGH
Motorized Recreational Boating,Dolphins and porpoises,Dolphins and porpoises,HIGH
Motorized Recreational Boating,Crabs,Crabs,LOW
Motorized Recreational Boating,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Boat-Based Commercial Wildlife Viewing,Raptors,Raptors,HIGH
Boat-Based Commercial Wildlife Viewing,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,HIGH
Boat-Based Commercial Wildlife Viewing,Wetland and coastal birds,Wetland and coastal birds,HIGH
Boat-Based Commercial Wildlife Viewing,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Boat-Based Commercial Wildlife Viewing,Coastal piscivores,Coastal piscivores,HIGH
Boat-Based Commercial Wildlife Viewing,Coastal piscivores,Marbled Murrelet ,HIGH
Boat-Based Commercial Wildlife Viewing,Coastal piscivores,Pelagic cormorant,HIGH
Boat-Based Commercial Wildlife Viewing,Roundfish,Roundfish,MEDIUM
Boat-Based Commercial Wildlife Viewing,Rockfish (any),Rockfish (any),MEDIUM
Boat-Based Commercial Wildlife Viewing,Pacific salmon,Pacific salmon,MEDIUM
Boat-Based Commercial Wildlife Viewing,Pacific salmon,Chinook salmon,MEDIUM
Boat-Based Commercial Wildlife Viewing,Pinnipeds and Otters,Pinnipeds and Otters,VERY HIGH
Boat-Based Commercial Wildlife Viewing,Baleen Whales,Baleen Whales,VERY HIGH
Boat-Based Commercial Wildlife Viewing,Baleen Whales,Humpback Whale ,VERY HIGH
Boat-Based Commercial Wildlife Viewing,Baleen Whales,Fin Whale,VERY HIGH
Boat-Based Commercial Wildlife Viewing,Baleen Whales,Blue whale,VERY HIGH
Boat-Based Commercial Wildlife Viewing,Grey whales,Grey whales,MEDIUM
Boat-Based Commercial Wildlife Viewing,Orca/killer whales,Orca/Killer Whale,HIGH
Boat-Based Commercial Wildlife Viewing,Dolphins and porpoises,Dolphins and porpoises,HIGH
Boat-Based Commercial Wildlife Viewing,Native non-marine mammals,Grizzly bears,MEDIUM
Boat-Based Commercial Wildlife Viewing,Crabs,Crabs,LOW
Boat-Based Commercial Wildlife Viewing,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Shore Use / Intertidal Exploration,Raptors,Raptors,HIGH
Shore Use / Intertidal Exploration,Raptors,Bald Eagle,MEDIUM
Shore Use / Intertidal Exploration,Raptors,Peregrine Falcon,HIGH
Shore Use / Intertidal Exploration,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,HIGH
Shore Use / Intertidal Exploration,Pelagic forage-fish piscivores/planktivores,Tufted puffins,HIGH
Shore Use / Intertidal Exploration,Wetland and coastal birds,Wetland and coastal birds,HIGH
Shore Use / Intertidal Exploration,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Shore Use / Intertidal Exploration,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),HIGH
Shore Use / Intertidal Exploration,Pinnipeds and Otters,Pinnipeds and Otters,MEDIUM
Shore Use / Intertidal Exploration,Epifaunal bivalves,Epifaunal bivalves,HIGH
Shore Use / Intertidal Exploration,Infaunal bivalves,Infaunal bivalves,MEDIUM
Shore Use / Intertidal Exploration,Filter/suspension feeders,Filter/suspension feeders,HIGH
Shore Use / Intertidal Exploration,Intertidal algae,Intertidal algae,HIGH
Shore Use / Intertidal Exploration,Intertidal algae,Fucus,HIGH
Shore Use / Intertidal Exploration,Coralline algae,Coralline algae,MEDIUM
Shore Use / Intertidal Exploration,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Shore Use / Intertidal Exploration,Salt marsh plants,Salt marsh plants,MEDIUM
Seismic surveys,Seabird nesting colonies & associated assemblages,Seabird nesting colonies & associated assemblages,LOW
Seismic surveys,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,LOW
Seismic surveys,Baleen Whales,Baleen Whales,LOW
Seismic surveys,Baleen Whales,Humpback Whale ,LOW
Seismic surveys,Baleen Whales,Fin Whale,HIGH
Seismic surveys,Dolphins and porpoises,Dolphins and porpoises,LOW
Seismic surveys,Toothed whales (not orcas),Toothed whales (not orcas),HIGH
Seismic surveys,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Seismic surveys,Mesopelagic Fish,Mesopelagic Fish,LOW
Seismic surveys,Pelagic molluscs (Cephalopods),Pelagic molluscs (Cephalopods),MEDIUM
Seismic surveys,Shrimp and prawns,Shrimp and prawns,LOW
Exploratory drilling,Corals,Corals,LOW
Exploratory drilling,Glass Sponges,Glass Sponges,LOW
Exploratory drilling,Demosponges,Demosponges,LOW
Extraction of Oil and Gas,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,LOW
Extraction of Oil and Gas,Pelagic forage-fish piscivores/planktivores,Common murres,MEDIUM
Catastrophic oil spills,Seabird nesting colonies & associated assemblages,Seabird nesting colonies & associated assemblages,HIGH
Catastrophic oil spills,Raptors,Bald Eagle,MEDIUM
Catastrophic oil spills,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Catastrophic oil spills,Intertidal/shallow subtidal insectivores or omnivores,Harlequin Duck ,HIGH
Catastrophic oil spills,Intertidal/shallow subtidal insectivores or omnivores,Barrow's Goldeneye,HIGH
Catastrophic oil spills,Coastal piscivores,Coastal piscivores,HIGH
Catastrophic oil spills,Coastal piscivores,Marbled murrelet,HIGH
Catastrophic oil spills,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Catastrophic oil spills,Pinnipeds and Otters,Sea Otter,HIGH
Catastrophic oil spills,Orca/killer whales,Orca/Killer Whale,HIGH
Catastrophic oil spills,Forage fish,Forage fish,MEDIUM
Catastrophic oil spills,Pacific salmon,Pacific salmon,MEDIUM
Catastrophic oil spills,Other groundfish,Other groundfish,MEDIUM
Catastrophic oil spills,Corals,Corals,LOW
Catastrophic oil spills,Epifaunal bivalves,Epifaunal bivalves,MEDIUM
Catastrophic oil spills,Filter/suspension feeders,Filter/suspension feeders,LOW
"Wind turbines in shallow, transitional and deep waters","Offshore, migratory pelagic birds","Offshore, migratory pelagic birds",MEDIUM
"Wind turbines in shallow, transitional and deep waters",Wetland and coastal birds,Wetland and coastal birds,LOW
"Wind turbines in shallow, transitional and deep waters",Pinnipeds and Otters,Pinnipeds and Otters,HIGH
"Wind turbines in shallow, transitional and deep waters",Baleen Whales,Baleen Whales,LOW
"Wind turbines in shallow, transitional and deep waters",Toothed whales (not orcas),Toothed whales (not orcas),LOW
"Wind turbines in shallow, transitional and deep waters",Dolphins and porpoises,Dolphins and porpoises,HIGH
"Wind turbines in shallow, transitional and deep waters",Dolphins and porpoises,Harbour porpoise,HIGH
"Wind turbines in shallow, transitional and deep waters",Other groundfish,Other groundfish,LOW
"Wind turbines in shallow, transitional and deep waters",Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,VERY HIGH
NA,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,LOW
NA,Other groundfish,Other groundfish,LOW
NA,Baleen Whales,Baleen Whales,LOW
NA,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,VERY HIGH
Tidal Barrage,Pacific salmon,Pacific salmon,LOW
Tidal Barrage,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Tidal Barrage,Salt marsh plants,Salt marsh plants,LOW
Tidal Barrage,Estuaries,Estuaries,LOW
Tidal Barrage,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,HIGH
Tidal Stream,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,LOW
Tidal Stream,Other groundfish,Other groundfish,LOW
Tidal Stream,Orca/killer whales,Orca/Killer Whale,MEDIUM
Tidal Stream,Pinnipeds and Otters,Pinnipeds and Otters,LOW
Tidal Stream,Pinnipeds and Otters,Harbour seal,MEDIUM
Tidal Stream,Crabs,Crabs,LOW
Tidal Stream,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,HIGH
Tidal Stream,Zooplankton,Zooplankton,LOW
Wave energy,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,LOW
Wave energy,Mesopelagic Fish,Mesopelagic Fish,LOW
Wave energy,Baleen Whales,Baleen Whales,LOW
Wave energy,Dolphins and porpoises,Dolphins and porpoises,LOW
